CaseID,SCQ_1,SCQ_2,SCQ_3,SCQ_4,SCQ_5,SCQ_6,SCQ_7,SCQ_8,SCQ_9,SCQ_10,WIS_1,WIS_2,WIS_3,WIS_4,WIS_5,WIS_6,WIS_7,WIS_8,WIS_9,WIS_10,WIS_11,WIS_12,FIT_1,FIT_2,FIT_3,FIT_4,FIT_5,FIT_6,FIT_7,FIT_8,FIT_9,FIT_10,FIT_11,FIT_12,FIT_13,FIT_14,FIT_15,FIT_16,FIT_17
55,3,2,2,4,6,5,5,6,2,5,2,2,1,1,1,1,1,1,1,1,1,1,2,5,2,6,4,5,4,5,3,4,5,5,4,5,3,4,5
56,4,2,5,5,5,2,5,4,4,4,2,1,1,1,2,1,1,1,1,1,1,1,4,6,7,3,4,3,6,4,4,3,5,3,4,5,4,4,6
57,6,6,5,6,6,5,6,6,5,6,2,2,1,1,2,1,1,1,1,1,1,1,3,5,6,6,2,5,6,6,2,5,5,3,2,5,2,6,6
58,7,5,3,5,6,7,7,6,5,5,2,2,1,1,2,2,1,1,1,1,1,2,3,6,6,6,3,5,3,6,1,1,6,3,2,6,5,5,5
59,2,2,2,2,4,2,3,1,4,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,5,4,1,1,2,4,2,1,2,2,1,2,4,4,4
60,7,6,6,7,7,7,7,7,7,7,2,2,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,2,3,2,2,2,4,2,2,3,1,1,3
61,6,6,4,5,7,3,6,5,6,3,1,1,1,1,1,2,1,1,1,1,1,1,2,6,6,5,5,3,4,5,6,4,4,3,1,3,3,4,5
62,6,2,5,5,5,5,5,6,6,5,1,1,1,1,1,2,1,1,2,1,1,1,2,3,5,4,5,5,3,6,2,3,2,2,5,3,3,4,5
63,6,6,5,6,7,6,6,3,6,5,3,3,2,4,3,4,1,2,2,1,1,2,5,5,5,3,4,4,3,3,2,3,4,3,3,3,3,3,5
64,4,5,4,5,3,3,4,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,3,4,6,4,3,3,4,4,3,3,4,3,4,3,3,4,4
65,2,2,2,3,4,2,2,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,3,2,2,2,2,2,2,2,4,2,2,2,3
66,7,5,2,5,7,6,5,6,6,3,2,1,2,1,2,1,1,1,1,1,1,1,2,5,6,5,2,6,5,2,2,2,2,1,2,3,2,1,3
67,2,2,3,3,5,2,3,4,4,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3,2,2,7,2,2,2,2,3,2,2,2,7
68,6,6,5,6,6,6,6,6,4,5,2,2,1,2,1,1,1,1,1,1,1,1,4,3,5,4,3,3,3,4,4,3,2,4,4,2,3,2,3
69,7,7,5,5,7,4,6,5,5,5,2,2,2,1,2,3,2,2,2,2,2,1,7,1,2,3,1,1,1,1,1,1,1,1,1,2,2,1,4
70,7,7,4,6,6,6,7,5,4,5,4,2,1,2,4,4,2,2,2,1,1,1,2,1,4,3,2,6,4,5,5,3,3,2,4,4,3,4,5
71,3,3,3,3,4,3,5,3,6,3,1,2,1,1,2,1,1,1,1,1,1,1,1,3,6,3,5,4,3,4,4,2,2,2,2,6,3,2,3
72,4,5,3,2,4,3,3,2,3,2,2,1,1,1,2,1,1,1,2,1,1,1,2,6,7,5,3,4,5,4,4,2,3,2,2,2,2,2,5
73,5,5,2,3,5,3,5,5,6,3,2,2,1,1,2,2,1,1,1,1,1,1,2,2,6,5,3,3,3,3,3,2,3,3,2,2,2,3,5
74,5,5,2,2,6,2,5,2,3,2,2,2,1,1,2,1,1,1,1,1,1,1,2,2,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2
75,7,6,4,5,6,4,6,5,7,3,2,2,2,2,2,1,1,2,2,1,1,2,2,3,5,5,5,3,4,5,5,4,3,3,5,4,4,3,5
76,2,2,2,6,6,3,5,5,6,6,1,1,1,1,2,2,1,1,1,1,1,1,1,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2
77,7,5,5,7,6,3,6,4,5,4,2,2,2,1,3,3,1,1,2,1,1,1,2,1,3,2,2,2,3,2,1,1,2,2,3,2,2,2,2
78,6,2,5,6,6,5,7,4,5,5,2,2,2,1,2,2,2,2,3,1,2,1,2,4,1,2,1,2,2,3,1,1,1,1,2,3,2,2,4
79,2,1,3,2,3,4,4,4,4,3,2,2,1,1,1,1,1,1,1,1,1,1,3,2,5,3,3,5,3,3,3,2,2,2,4,2,2,2,4
80,5,2,1,4,5,1,5,4,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,1,2,4,4,2,2,2,1,1,1,1,4
81,6,5,4,6,6,4,5,5,6,5,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2
82,5,5,4,5,5,5,5,5,4,4,2,1,2,1,1,1,1,2,1,2,1,2,2,2,2,3,3,3,3,3,3,3,3,3,4,3,3,3,5
83,2,6,3,4,4,5,5,4,4,4,2,1,1,1,1,4,1,1,1,1,1,1,1,1,2,2,4,1,2,2,2,2,2,2,4,2,2,4,2
84,5,1,6,6,4,1,1,6,4,3,2,2,2,3,1,3,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,1,1,2
85,7,7,2,6,7,3,7,4,3,4,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,3
86,7,6,5,7,5,5,5,5,7,3,2,2,1,1,2,1,1,1,2,1,1,1,3,5,7,4,1,4,3,5,2,1,2,1,1,3,4,3,4
87,3,3,2,1,2,2,2,4,3,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,5,4,4,3,2,4,2,1,2,2,2,2,2,3,4
88,3,3,3,5,5,3,3,5,5,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,4,3,1,2,3,3,2,2,2,1,1,2,2,1,3
89,6,6,5,7,6,6,6,6,6,6,2,2,1,1,1,1,1,1,1,1,1,1,2,2,7,4,4,2,2,4,3,3,3,3,4,4,3,4,4
90,5,6,6,6,6,6,6,6,6,3,2,2,1,1,2,1,1,1,2,1,1,1,3,3,3,3,3,3,3,3,3,2,3,2,2,3,2,3,3
91,4,4,5,5,5,3,5,4,5,5,3,2,2,2,3,4,1,2,2,4,3,1,3,5,2,6,1,5,5,3,3,4,2,5,2,4,3,3,5
92,5,5,4,6,6,5,5,3,5,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,3,1,3,2,4
93,5,5,3,5,5,6,6,5,5,6,3,2,2,1,3,3,1,1,1,1,1,1,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
